,Date,Open,High,Low,Close*,Adj Close**,Volume,percentage,z-score,Label,significance,sentiment,30_SMA,50_SMA,200_SMA,EMA,Upper Bollinger Band,Lower Bollinger Band,stoch_k,stoch_d,Gain,Loss,AVG_Gain,AVG_Loss,RS,RSI,obv,VAO,Positive,VolumePositive
71,2008-12-29,8515.87,8530.68,8364.06,8483.93,8483.93,153730000.0,-0.0037132070154011,-0.4764776599976295,0.0,4.0,0.0,8497.587333333333,8656.2456,9104.063333333334,,9408.388534539781,7904.102665460218,,,0.0,31.61999999999898,118.67040000000006,128.57700000000006,0.9229520054130989,47.99662200694527,-3210140000.0,5620368800.000201,True,False
72,2008-12-30,8487.51,8675.24,8487.51,8668.39,8668.39,162560000.0,0.0217422821734738,0.0153474211467176,1.0,2.0,0.0,8503.29,8652.569,9098.09520547945,,9402.59611939268,7902.541880607319,,,184.45999999999913,0.0,122.35960000000004,126.03620000000005,0.9708290157907014,49.259931126049636,-3047580000.0,14145158399.999905,True,True
73,2008-12-31,8666.48,8842.66,8664.89,8776.39,8776.39,226760000.0,0.0124590610251731,0.3186981114251519,1.0,3.0,0.0,8520.050333333333,8642.7882,9093.747837837838,,9372.679059056138,7912.897340943864,,,108.0,0.0,116.25540000000002,126.03620000000005,0.9223968986687949,47.98160563552347,-2820820000.0,5128177399.99995,True,True
74,2009-01-02,8772.25,9065.28,8760.78,9034.69,9034.69,213700000.0,0.0294312353940515,1.0017644660954887,1.0,1.0,0.0,8540.381666666666,8642.8088,9092.9604,,9372.744743274416,7912.872856725586,,,258.3000000000011,0.0,121.42140000000005,121.40080000000003,1.0001696858669795,50.00424178678886,-2607120000.0,25998741999.99997,True,True
75,2009-01-05,9027.13,9034.37,8892.36,8952.89,8952.89,233760000.0,-0.0090539907844099,0.8142947997869301,0.0,2.0,0.0,8572.235333333334,8651.4824,9091.117368421053,,9385.717613166757,7917.247186833244,,,0.0,81.80000000000109,121.42140000000005,112.74780000000004,1.0769292172441502,51.851994199066326,-2840880000.0,-2448636000.00051,False,False
76,2009-01-06,8954.57,9088.06,8940.95,9015.1,9015.1,215410000.0,0.0069485942528055,0.987064557897331,1.0,3.0,0.0,8620.995666666666,8657.9594,9090.130129870131,,9399.305678762668,7916.613121237331,,,62.210000000000946,0.0,119.22480000000004,112.74780000000004,1.0574467971880603,51.39607005310109,-2625470000.0,128168949.99985895,True,True
77,2009-01-07,8996.94,8996.94,8719.92,8769.7,8769.7,266710000.0,-0.0272209958846822,0.2995741261089961,0.0,2.0,0.0,8645.105,8665.7744,9086.02205128205,,9403.344389308902,7928.204410691098,,,0.0,245.39999999999964,119.22480000000004,111.40980000000005,1.0701464323605283,51.69423841869346,-2892180000.0,-23665178299.99988,False,False
78,2009-01-08,8769.94,8770.02,8651.19,8742.46,8742.46,226620000.0,-0.0031061495832241,0.221873288331091,0.0,2.0,0.0,8655.074,8677.108199999999,9081.673164556963,,9401.238634746076,7952.9777652539215,,,0.0,27.2400000000016,119.22480000000004,107.89100000000008,1.1050486138788218,52.49515885728777,-3118800000.0,7218980099.999901,True,False
79,2009-01-09,8738.8,8769.62,8576.96,8599.18,8599.18,204300000.0,-0.0163889797608451,-0.1846202962852259,0.0,2.0,0.0,8659.064333333334,8667.7894,9075.642,,9383.482157342707,7952.096642657292,,,0.0,143.27999999999884,101.43780000000004,110.75660000000005,0.9158623504152348,47.80418333377318,-3323100000.0,-15140673000.000118,False,False
80,2009-01-12,8599.26,8602.6,8421.08,8473.97,8473.97,273550000.0,-0.0145606906705059,-0.5551829878524401,0.0,3.0,0.0,8650.643,8657.4496,9068.213950617283,,9369.01175932196,7945.88744067804,,,0.0,125.21000000000095,101.43780000000004,111.77760000000004,0.9074966719628978,47.57526895336829,-3596650000.0,-10359338500.00022,False,False
