,Date,Open,High,Low,Close*,Adj Close**,Volume,percentage,z-score
2019,2016-07-13,18356.78,18390.16,18315.76,18372.12,18372.12,80920000.0,0.0013325942749133901,2.609010812811172
2020,2016-07-14,18414.3,18537.57,18414.3,18506.41,18506.41,87050000.0,0.007309444963346623,2.869601053739425
2021,2016-07-15,18508.88,18557.43,18471.62,18516.55,18516.55,123690000.0,0.0005479182618346456,2.6564203264946067
2104,2016-11-10,18603.14,18873.66,18603.14,18807.88,18807.88,164390000.0,0.011737151076752994,3.3007334691311985
2105,2016-11-11,18781.65,18855.78,18736.96,18847.66,18847.66,107300000.0,0.002115070917083628,3.1679918432660394
2106,2016-11-14,18876.77,18934.05,18815.75,18868.69,18868.69,112250000.0,0.001115788379034699,2.955785707000178
2107,2016-11-15,18858.21,18925.26,18806.06,18923.06,18923.06,100660000.0,0.0028814930978251496,2.908060803909305
2169,2017-02-15,20504.27,20620.45,20496.03,20611.86,20611.86,384380000.0,0.005240336103306653,2.6383975325618336
2170,2017-02-16,20627.31,20639.87,20556.83,20619.77,20619.77,354120000.0,0.0003837596412938904,2.5626146215228998
2171,2017-02-17,20564.13,20624.05,20532.61,20624.05,20624.05,340620000.0,0.00020756778567365686,2.506453659728223
2172,2017-02-21,20663.43,20757.64,20663.37,20743.0,20743.0,336880000.0,0.005767538383586235,2.8107982046257067
2173,2017-02-22,20715.41,20781.59,20692.39,20775.6,20775.6,310530000.0,0.0015716145205610932,2.7930382106307032
2174,2017-02-23,20817.21,20840.7,20746.41,20810.32,20810.32,302110000.0,0.0016711912050675348,2.690399218359207
2175,2017-02-24,20751.91,20821.76,20733.95,20821.76,20821.76,292540000.0,0.0005497272507102302,2.525863103359016
2178,2017-03-01,20957.29,21169.11,20957.29,21115.55,21115.55,392820000.0,0.01457363551448565,2.7595131194103724
2330,2017-10-05,22669.08,22777.04,22655.14,22775.39,22775.39,246400000.0,0.005019495499884341,2.5512491126856918
2595,2018-10-24,25172.88,25306.23,24533.19,24583.42,24583.42,496400000.0,-0.024135588968153154,-2.649679972632673
2598,2018-10-29,24818.98,25040.58,24122.23,24442.92,24442.92,443850000.0,-0.009939521984291488,-2.582855927299258
2633,2018-12-19,23693.33,24057.34,23162.64,23323.66,23323.66,503550000.0,-0.014866757561780797,-2.5405655856830474
2634,2018-12-20,23224.12,23282.2,22644.31,22859.6,22859.6,576700000.0,-0.01989653424891291,-2.9347249254697108
2635,2018-12-21,22871.74,23254.59,22396.34,22445.37,22445.37,900510000.0,-0.01812061453393754,-3.156319487547258
2636,2018-12-24,22317.28,22339.87,21792.2,21792.2,21792.2,308420000.0,-0.02910043363063286,-3.485056737907831
2744,2019-05-31,25046.31,25046.31,24809.51,24815.04,24815.04,292230000.0,-0.014097802611693022,-2.64860282035823
2929,2020-02-25,28037.65,28149.2,26997.62,27081.36,27081.36,513270000.0,-0.031452605075677376,-3.3702318351273606
2930,2020-02-26,27159.46,27542.78,26890.97,26957.59,26957.59,472450000.0,-0.004570302230020973,-3.278368157658937
2931,2020-02-27,26526.0,26775.31,25752.82,25766.64,25766.64,664980000.0,-0.044178652468562674,-4.354956299091023
2932,2020-02-28,25270.83,25494.24,24681.01,25409.36,25409.36,915990000.0,-0.013865991064414995,-3.9956318016151346
2934,2020-03-03,26762.47,27084.59,25706.28,25917.41,25917.41,647080000.0,-0.02943117185428623,-2.8598835700911414
2938,2020-03-09,24992.36,24992.36,23706.07,23851.02,23851.02,750430000.0,-0.07785722515327786,-3.6235482208561427
2940,2020-03-11,24604.63,24604.63,23328.32,23553.22,23553.22,663960000.0,-0.058555065600347844,-3.1357314498202937
2941,2020-03-12,22184.71,22837.95,21154.46,21200.62,21200.62,908260000.0,-0.09988443193754404,-3.8728641433748896
2942,2020-03-13,21973.82,23189.76,21285.37,23185.62,23185.62,843080000.0,0.09362933725523126,-2.5195024630279517
2943,2020-03-16,20917.53,21768.28,20116.46,20188.52,20188.52,770130000.0,-0.12926546713005727,-3.4951021654169456
2944,2020-03-17,20487.05,21379.35,19882.26,21237.38,21237.38,793060000.0,0.05195328830444246,-2.724521450908672
2945,2020-03-18,20188.69,20489.33,18917.46,19898.92,19898.92,871360000.0,-0.06302378165291589,-2.9363485510725047
2946,2020-03-19,19830.01,20442.63,19177.13,20087.19,20087.19,780300000.0,0.009461317498638211,-2.6077526007409104
2947,2020-03-20,20253.15,20531.26,19094.27,19173.98,19173.98,872290000.0,-0.04546230707231824,-2.6657183107878253
2948,2020-03-23,19028.36,19121.01,18213.65,18591.93,18591.93,787970000.0,-0.03035624320042052,-2.6056144452317187
3001,2020-06-08,27232.93,27580.21,27232.48,27572.44,27572.44,430200000.0,0.01702114788915776,2.6033519932225513
3101,2020-10-28,27102.14,27102.14,26497.39,26519.95,26519.95,496150000.0,-0.034345609523147136,-2.685811727222119
3114,2020-11-16,29672.36,29964.29,29672.36,29950.44,29950.44,418290000.0,0.0159644855241603,2.526217923970653
3192,2021-03-11,32354.5,32661.59,32345.7,32485.59,32485.59,400020000.0,0.005838619166721903,2.583910060437912
3193,2021-03-12,32462.4,32793.32,32462.4,32778.64,32778.64,346400000.0,0.009020922815315968,2.85806630865873
3194,2021-03-15,32798.84,32973.4,32629.75,32953.46,32953.46,360080000.0,0.005333351231167516,2.863292031008374
3196,2021-03-17,32825.52,33047.58,32782.18,33015.37,33015.37,391200000.0,0.005770434671350078,2.545116263085334
3325,2021-09-20,34459.72,34459.72,33613.03,33970.47,33970.47,435780000.0,-0.017765277774564936,-2.931917698665923
3326,2021-09-21,34025.61,34313.88,33914.02,33919.84,33919.84,306970000.0,-0.001490412113815509,-2.8660542962536093
3333,2021-09-30,34467.98,34557.37,33833.32,33843.92,33843.92,354830000.0,-0.01589963804189043,-2.6826999160460887
3433,2022-02-23,33680.97,33832.59,33084.9,33131.76,33131.76,370600000.0,-0.013836217404077367,-2.68417598901884
3695,2023-03-10,32185.14,32422.1,31783.41,31909.64,31909.64,397790000.0,-0.01070288322441959,-2.8570458647340202
3696,2023-03-13,31819.93,32240.35,31624.87,31819.14,31819.14,429090000.0,-0.002836133532061136,-2.747019432194706
